,fieldID,ID,Coord,ESCA,BlackLeaf,Humidity
0,Field1 - white_grape,000000,"(51.04841497644026, 0.7994881571214972)",0.59,0.74,0.8
1,Field1 - white_grape,000001,"(51.04837829311981, 0.7999609410155092)",0.03,0.24,0.25
2,Field1 - white_grape,000002,"(51.04816024283303, 0.7997062074082778)",0.73,0.97,0.61
3,Field1 - white_grape,000003,"(51.04794219254625, 0.7994514738010463)",0.31,0.47,0.63
4,Field1 - white_grape,000004,"(51.04812355951258, 0.8001789913022898)",0.93,0.98,0.8
5,Field1 - white_grape,000005,"(51.0479055092258, 0.7999242576950584)",0.54,0.97,0.14
6,Field1 - white_grape,000006,"(51.04768745893902, 0.7996695240878269)",0.58,0.14,0.04
7,Field1 - white_grape,000007,"(51.049831278486366, 0.8026896440541531)",0.22,0.83,0.79
8,Field1 - white_grape,000008,"(51.048304926478906, 0.8009065088035331)",0.02,0.92,0.84
9,Field1 - white_grape,000009,"(51.04808687619212, 0.8006517751963016)",0.36,0.79,0.42
10,Field1 - white_grape,00000A,"(51.04786882590535, 0.8003970415890702)",0.31,0.72,0.78
11,Field1 - white_grape,00000B,"(51.047650775618564, 0.8001423079818388)",0.8,0.91,0.42
12,Field1 - white_grape,00000C,"(51.04743272533179, 0.7998875743746073)",0.94,0.02,0.28
13,Field1 - white_grape,00000D,"(51.05001264545269, 0.8034171615553966)",0.23,0.44,0.94
14,Field1 - white_grape,00000E,"(51.049794595165906, 0.8031624279481652)",0.68,0.02,0.33
15,Field1 - white_grape,00000F,"(51.04957654487913, 0.8029076943409337)",0.34,0.39,0.73
16,Field1 - white_grape,000010,"(51.049140444305564, 0.8023982271264708)",0.64,0.73,0.39
17,Field1 - white_grape,000011,"(51.04892239401879, 0.8021434935192394)",0.54,0.13,0.41
18,Field1 - white_grape,000012,"(51.048704343732005, 0.8018887599120079)",0.94,0.39,0.79
19,Field1 - white_grape,000013,"(51.04848629344523, 0.8016340263047765)",0.34,0.22,0.0
20,Field1 - white_grape,000014,"(51.04826824315845, 0.801379292697545)",0.4,0.05,0.79
21,Field1 - white_grape,000015,"(51.04805019287167, 0.8011245590903137)",0.43,0.01,0.53
22,Field1 - white_grape,000016,"(51.04783214258489, 0.8008698254830822)",0.02,0.14,0.36
23,Field1 - white_grape,000017,"(51.04761409229811, 0.8006150918758508)",0.89,0.14,0.26
