,fieldID,ID,Coord,ESCA,BlackLeaf,Humidity
0,Field1 - white_grape,000000,"(51.04841497644026, 0.7994881571214972)",0.47,0.75,0.78
1,Field1 - white_grape,000001,"(51.04837829311981, 0.7999609410155092)",0.93,0.18,0.11
2,Field1 - white_grape,000002,"(51.04816024283303, 0.7997062074082778)",0.03,0.8,0.29
3,Field1 - white_grape,000003,"(51.04794219254625, 0.7994514738010463)",0.44,0.56,0.92
4,Field1 - white_grape,000004,"(51.04812355951258, 0.8001789913022898)",0.76,0.98,0.68
5,Field1 - white_grape,000005,"(51.0479055092258, 0.7999242576950584)",0.38,0.53,0.68
6,Field1 - white_grape,000006,"(51.04768745893902, 0.7996695240878269)",0.99,0.74,0.88
7,Field1 - white_grape,000007,"(51.049831278486366, 0.8026896440541531)",0.6,0.0,0.08
8,Field1 - white_grape,000008,"(51.048304926478906, 0.8009065088035331)",0.71,0.92,1.0
9,Field1 - white_grape,000009,"(51.04808687619212, 0.8006517751963016)",0.26,0.39,0.78
10,Field1 - white_grape,00000A,"(51.04786882590535, 0.8003970415890702)",0.77,0.14,0.14
11,Field1 - white_grape,00000B,"(51.047650775618564, 0.8001423079818388)",0.9,0.75,0.3
12,Field1 - white_grape,00000C,"(51.04743272533179, 0.7998875743746073)",0.63,0.29,0.07
13,Field1 - white_grape,00000D,"(51.05001264545269, 0.8034171615553966)",0.94,0.55,0.86
14,Field1 - white_grape,00000E,"(51.049794595165906, 0.8031624279481652)",0.86,0.57,0.36
15,Field1 - white_grape,00000F,"(51.04957654487913, 0.8029076943409337)",0.93,0.29,0.42
16,Field1 - white_grape,000010,"(51.049140444305564, 0.8023982271264708)",0.81,0.95,0.84
17,Field1 - white_grape,000011,"(51.04892239401879, 0.8021434935192394)",0.05,0.06,0.59
18,Field1 - white_grape,000012,"(51.048704343732005, 0.8018887599120079)",0.1,0.04,0.27
19,Field1 - white_grape,000013,"(51.04848629344523, 0.8016340263047765)",0.29,0.92,0.35
20,Field1 - white_grape,000014,"(51.04826824315845, 0.801379292697545)",0.97,0.57,0.34
21,Field1 - white_grape,000015,"(51.04805019287167, 0.8011245590903137)",0.05,0.02,0.68
22,Field1 - white_grape,000016,"(51.04783214258489, 0.8008698254830822)",0.62,0.43,0.71
23,Field1 - white_grape,000017,"(51.04761409229811, 0.8006150918758508)",0.48,0.6,0.23
24,Field1 - white_grape,000018,"(51.05019401241902, 0.80414467905664)",0.77,0.02,0.91
25,Field1 - white_grape,000019,"(51.04997596213224, 0.8038899454494086)",0.23,0.1,0.32
26,Field1 - white_grape,00001A,"(51.04975791184546, 0.8036352118421771)",0.69,0.44,0.59
27,Field1 - white_grape,00001B,"(51.04953986155868, 0.8033804782349457)",0.86,0.64,0.9
28,Field1 - white_grape,00001C,"(51.0493218112719, 0.8031257446277142)",0.58,0.26,0.25
29,Field1 - white_grape,00001D,"(51.04910376098512, 0.8028710110204829)",0.39,0.3,0.23
30,Field1 - white_grape,00001E,"(51.048885710698336, 0.8026162774132514)",0.64,0.95,0.79
31,Field1 - white_grape,00001F,"(51.04866766041156, 0.80236154380602)",0.64,0.03,0.14
32,Field1 - white_grape,000020,"(51.04844961012478, 0.8021068101987885)",0.66,0.87,0.55
33,Field1 - white_grape,000021,"(51.048231559838, 0.8018520765915571)",0.09,0.43,0.75
34,Field1 - white_grape,000022,"(51.04801350955122, 0.8015973429843256)",0.02,0.09,0.98
35,Field1 - white_grape,000023,"(51.04779545926444, 0.8013426093770942)",0.71,0.98,0.87
36,Field1 - white_grape,000024,"(51.04757740897766, 0.8010878757698627)",0.05,0.33,0.7
37,Field1 - white_grape,000025,"(51.05037537938535, 0.8048721965578788)",0.92,0.95,0.7
38,Field1 - white_grape,000026,"(51.05015732909857, 0.8046174629506473)",1.0,0.91,0.49
39,Field1 - white_grape,000027,"(51.04993927881179, 0.8043627293434159)",0.47,0.24,0.7
40,Field1 - white_grape,000028,"(51.04972122852501, 0.8041079957361845)",0.06,0.79,0.94
41,Field1 - white_grape,000029,"(51.04950317823823, 0.803853262128953)",0.72,0.63,0.57
42,Field1 - white_grape,00002A,"(51.04928512795145, 0.8035985285217216)",0.6,0.56,0.66
43,Field1 - white_grape,00002B,"(51.049067077664674, 0.8033437949144902)",0.08,0.5,0.06
44,Field1 - white_grape,00002C,"(51.04884902737789, 0.8030890613072588)",0.01,0.57,0.45
45,Field1 - white_grape,00002D,"(51.04863097709111, 0.8028343277000273)",0.3,0.45,0.82
46,Field1 - white_grape,00002E,"(51.04841292680433, 0.8025795940927959)",0.38,0.08,0.75
47,Field1 - white_grape,00002F,"(51.04819487651755, 0.8023248604855644)",0.75,0.99,0.94
48,Field1 - white_grape,000030,"(51.04797682623077, 0.802070126878333)",0.13,0.62,0.27
49,Field1 - white_grape,000031,"(51.04775877594399, 0.8018153932711015)",0.56,0.92,0.64
50,Field1 - white_grape,000032,"(51.047540725657214, 0.8015606596638701)",0.86,0.43,0.7
51,Field1 - white_grape,000033,"(51.05033869606489, 0.8053449804518908)",0.53,0.15,0.84
52,Field1 - white_grape,000034,"(51.050120645778115, 0.8050902468446594)",0.5,0.53,0.02
53,Field1 - white_grape,000035,"(51.04990259549133, 0.8048355132374279)",0.41,0.18,0.48
54,Field1 - white_grape,000036,"(51.049684545204556, 0.8045807796301965)",0.83,0.79,0.28
55,Field1 - white_grape,000037,"(51.04946649491777, 0.8043260460229651)",0.28,0.73,0.83
56,Field1 - white_grape,000038,"(51.049248444631, 0.8040713124157336)",0.28,0.78,0.36
57,Field1 - white_grape,000039,"(51.049030394344214, 0.8038165788085022)",0.99,0.05,0.41
58,Field1 - white_grape,00003A,"(51.04881234405744, 0.8035618452012707)",0.31,0.75,0.85
59,Field1 - white_grape,00003B,"(51.048594293770655, 0.8033071115940393)",0.41,0.13,0.15
60,Field1 - white_grape,00003C,"(51.04837624348387, 0.8030523779868078)",0.03,0.74,0.51
61,Field1 - white_grape,00003D,"(51.0481581931971, 0.8027976443795765)",0.84,0.22,0.5
62,Field1 - white_grape,00003E,"(51.04794014291031, 0.802542910772345)",0.2,0.46,0.45
63,Field1 - white_grape,00003F,"(51.04772209262354, 0.8022881771651136)",0.21,0.72,1.0
64,Field1 - white_grape,000040,"(51.050302012744446, 0.8058177643459028)",0.23,0.55,0.92
