,fieldID,ID,Coord,ESCA,BlackLeaf,Humidity
0,Field 1 - white_grape,000000,"(51.005460362926705, 0.5434411306019757)",0.59,0.37,0.63
1,Field 1 - white_grape,000001,"(51.00535185298633, 0.5433143656756841)",0.77,0.7,0.9
2,Field 1 - white_grape,000002,"(51.00544210794078, 0.5436764054686392)",0.36,0.65,0.85
3,Field 1 - white_grape,000003,"(51.00533359800041, 0.5435496405423474)",0.35,0.0,0.1
4,Field 1 - white_grape,000004,"(51.00522508806004, 0.5434228756160558)",0.35,0.06,0.47
5,Field 1 - white_grape,000005,"(51.00553236289523, 0.5440384452615941)",0.81,0.72,0.78
6,Field 1 - white_grape,000006,"(51.00542385295486, 0.5439116803353023)",0.58,0.79,0.58
7,Field 1 - white_grape,000007,"(51.00531534301449, 0.5437849154090109)",0.58,0.37,0.83
8,Field 1 - white_grape,000008,"(51.00520683307412, 0.5436581504827191)",0.13,0.91,0.07
9,Field 1 - white_grape,000009,"(51.005098323133744, 0.5435313855564275)",0.84,0.71,0.96
10,Field 1 - white_grape,00000A,"(51.00551410790931, 0.5442737201282575)",0.84,0.69,0.51
11,Field 1 - white_grape,00000B,"(51.00540559796894, 0.5441469552019659)",0.69,0.14,0.28
12,Field 1 - white_grape,00000C,"(51.00529708802857, 0.5440201902756742)",0.61,0.24,0.52
13,Field 1 - white_grape,00000D,"(51.005188578088195, 0.5438934253493827)",0.98,0.14,0.19
14,Field 1 - white_grape,00000E,"(51.00508006814783, 0.543766660423091)",0.65,0.73,0.57
15,Field 1 - white_grape,00000F,"(51.00497155820745, 0.5436398954967994)",0.81,0.58,0.91
16,Field 1 - white_grape,000010,"(51.004863048267076, 0.5435131305705078)",0.81,0.02,0.77
17,Field 1 - white_grape,000011,"(51.005495852923396, 0.5445089949949208)",0.64,0.34,0.39
18,Field 1 - white_grape,000012,"(51.00538734298303, 0.5443822300686292)",0.27,0.1,0.01
19,Field 1 - white_grape,000013,"(51.00527883304265, 0.5442554651423376)",0.04,0.68,0.01
20,Field 1 - white_grape,000014,"(51.005170323102284, 0.5441287002160459)",0.62,0.28,0.4
21,Field 1 - white_grape,000015,"(51.00506181316191, 0.5440019352897544)",0.12,0.27,0.97
22,Field 1 - white_grape,000016,"(51.00495330322154, 0.5438751703634627)",0.12,0.09,0.51
23,Field 1 - white_grape,000017,"(51.004844793281165, 0.5437484054371711)",0.89,0.45,0.28
24,Field 1 - white_grape,000018,"(51.00473628334079, 0.5436216405108795)",1.0,0.68,0.28
25,Field 1 - white_grape,000019,"(51.00547759793748, 0.5447442698615842)",0.3,0.27,0.07
26,Field 1 - white_grape,00001A,"(51.0053690879971, 0.5446175049352925)",0.89,0.86,0.55
27,Field 1 - white_grape,00001B,"(51.005260578056735, 0.5444907400090009)",0.49,0.67,0.13
28,Field 1 - white_grape,00001C,"(51.00515206811636, 0.5443639750827093)",0.26,0.55,0.42
29,Field 1 - white_grape,00001D,"(51.00504355817599, 0.5442372101564176)",0.81,0.91,0.22
30,Field 1 - white_grape,00001E,"(51.004935048235616, 0.5441104452301261)",0.87,0.33,0.23
31,Field 1 - white_grape,00001F,"(51.00482653829525, 0.5439836803038344)",0.02,0.16,0.14
32,Field 1 - white_grape,000020,"(51.00471802835487, 0.5438569153775428)",0.91,0.0,0.73
33,Field 1 - white_grape,000021,"(51.0046095184145, 0.5437301504512512)",0.22,0.86,0.0
34,Field 1 - white_grape,000022,"(51.00556785289192, 0.5451063096545438)",0.35,0.85,0.81
35,Field 1 - white_grape,000023,"(51.00545934295155, 0.5449795447282522)",0.72,0.93,0.27
