,fieldID,ID,Coord,ESCA,BlackLeaf,Humidity
0,Field 1 - white_grape,000000,"(51.005460362926705, 0.5434411306019757)",0.18,0.03,0.71
1,Field 1 - white_grape,000001,"(51.00535185298633, 0.5433143656756841)",0.11,0.4,0.47
2,Field 1 - white_grape,000002,"(51.00544210794078, 0.5436764054686392)",0.11,0.98,0.47
3,Field 1 - white_grape,000003,"(51.00533359800041, 0.5435496405423474)",0.79,0.78,0.01
4,Field 1 - white_grape,000004,"(51.00522508806004, 0.5434228756160558)",0.47,0.18,0.94
5,Field 1 - white_grape,000005,"(51.00553236289523, 0.5440384452615941)",0.19,0.4,0.39
6,Field 1 - white_grape,000006,"(51.00542385295486, 0.5439116803353023)",0.34,0.3,0.8
7,Field 1 - white_grape,000007,"(51.00531534301449, 0.5437849154090109)",0.47,0.39,0.73
8,Field 1 - white_grape,000008,"(51.00520683307412, 0.5436581504827191)",0.46,0.02,0.42
9,Field 1 - white_grape,000009,"(51.005098323133744, 0.5435313855564275)",0.63,0.75,0.86
10,Field 1 - white_grape,00000A,"(51.00551410790931, 0.5442737201282575)",0.46,0.89,0.64
11,Field 1 - white_grape,00000B,"(51.00540559796894, 0.5441469552019659)",0.41,0.12,0.01
12,Field 1 - white_grape,00000C,"(51.00529708802857, 0.5440201902756742)",0.15,0.23,0.7
13,Field 1 - white_grape,00000D,"(51.005188578088195, 0.5438934253493827)",0.01,0.49,0.48
14,Field 1 - white_grape,00000E,"(51.00508006814783, 0.543766660423091)",0.88,0.22,0.75
15,Field 1 - white_grape,00000F,"(51.00497155820745, 0.5436398954967994)",0.02,0.09,0.95
16,Field 1 - white_grape,000010,"(51.004863048267076, 0.5435131305705078)",0.05,0.17,0.13
17,Field 1 - white_grape,000011,"(51.005495852923396, 0.5445089949949208)",0.51,0.99,0.05
18,Field 1 - white_grape,000012,"(51.00538734298303, 0.5443822300686292)",0.59,0.22,0.31
19,Field 1 - white_grape,000013,"(51.00527883304265, 0.5442554651423376)",0.04,0.19,0.81
20,Field 1 - white_grape,000014,"(51.005170323102284, 0.5441287002160459)",0.32,0.48,0.01
21,Field 1 - white_grape,000015,"(51.00506181316191, 0.5440019352897544)",0.13,0.07,0.67
22,Field 1 - white_grape,000016,"(51.00495330322154, 0.5438751703634627)",0.32,0.36,0.88
23,Field 1 - white_grape,000017,"(51.004844793281165, 0.5437484054371711)",0.6,0.92,0.8
24,Field 1 - white_grape,000018,"(51.00473628334079, 0.5436216405108795)",0.82,0.4,0.07
25,Field 1 - white_grape,000019,"(51.00547759793748, 0.5447442698615842)",0.31,0.8,0.79
26,Field 1 - white_grape,00001A,"(51.0053690879971, 0.5446175049352925)",0.66,0.4,0.11
27,Field 1 - white_grape,00001B,"(51.005260578056735, 0.5444907400090009)",0.25,0.19,0.12
28,Field 1 - white_grape,00001C,"(51.00515206811636, 0.5443639750827093)",0.79,0.75,0.55
29,Field 1 - white_grape,00001D,"(51.00504355817599, 0.5442372101564176)",0.71,0.61,0.56
30,Field 1 - white_grape,00001E,"(51.004935048235616, 0.5441104452301261)",0.81,0.94,0.16
31,Field 1 - white_grape,00001F,"(51.00482653829525, 0.5439836803038344)",0.47,0.29,0.82
32,Field 1 - white_grape,000020,"(51.00471802835487, 0.5438569153775428)",0.7,0.17,0.0
33,Field 1 - white_grape,000021,"(51.0046095184145, 0.5437301504512512)",0.85,0.16,0.78
34,Field 1 - white_grape,000022,"(51.00556785289192, 0.5451063096545438)",0.88,0.5,0.38
35,Field 1 - white_grape,000023,"(51.00545934295155, 0.5449795447282522)",0.03,0.6,0.18
36,Field 1 - white_grape,000024,"(51.00535083301118, 0.5448527798019606)",0.38,0.27,0.58
37,Field 1 - white_grape,000025,"(51.0052423230708, 0.5447260148756689)",0.45,0.61,0.84
38,Field 1 - white_grape,000026,"(51.005133813130435, 0.5445992499493773)",0.46,0.47,0.71
39,Field 1 - white_grape,000027,"(51.00502530319006, 0.5444724850230857)",0.15,0.96,0.64
40,Field 1 - white_grape,000028,"(51.00491679324969, 0.5443457200967939)",0.91,0.28,0.59
41,Field 1 - white_grape,000029,"(51.004808283309316, 0.5442189551705024)",0.07,0.3,0.23
42,Field 1 - white_grape,00002A,"(51.00469977336895, 0.5440921902442107)",0.2,0.51,0.25
43,Field 1 - white_grape,00002B,"(51.00459126342857, 0.5439654253179191)",0.36,0.09,0.58
44,Field 1 - white_grape,00002C,"(51.0044827534882, 0.5438386603916275)",0.5,0.65,0.03
45,Field 1 - white_grape,00002D,"(51.00554959790601, 0.5453415845212072)",0.98,0.25,0.5
46,Field 1 - white_grape,00002E,"(51.005441087965636, 0.5452148195949156)",0.88,0.48,0.16
47,Field 1 - white_grape,00002F,"(51.00533257802527, 0.545088054668624)",1.0,0.7,0.14
48,Field 1 - white_grape,000030,"(51.00522406808489, 0.5449612897423324)",0.73,0.88,0.51
49,Field 1 - white_grape,000031,"(51.00511555814452, 0.5448345248160407)",0.87,0.2,0.29
50,Field 1 - white_grape,000032,"(51.00500704820415, 0.5447077598897491)",0.74,0.52,0.86
51,Field 1 - white_grape,000033,"(51.004898538263774, 0.5445809949634575)",0.65,0.08,0.49
52,Field 1 - white_grape,000034,"(51.004790028323406, 0.5444542300371658)",0.17,0.61,0.05
53,Field 1 - white_grape,000035,"(51.00468151838303, 0.5443274651108743)",0.62,0.21,0.0
54,Field 1 - white_grape,000036,"(51.00457300844266, 0.5442007001845826)",0.46,0.5,0.27
55,Field 1 - white_grape,000037,"(51.00446449850229, 0.544073935258291)",0.06,0.28,0.32
56,Field 1 - white_grape,000038,"(51.00435598856191, 0.5439471703319994)",1.0,0.88,0.49
57,Field 1 - white_grape,000039,"(51.00553134292009, 0.5455768593878706)",0.49,0.6,0.8
58,Field 1 - white_grape,00003A,"(51.00542283297972, 0.5454500944615789)",0.46,0.55,0.87
59,Field 1 - white_grape,00003B,"(51.00531432303934, 0.5453233295352873)",0.75,0.41,0.53
60,Field 1 - white_grape,00003C,"(51.005205813098975, 0.5451965646089957)",0.49,0.69,0.54
61,Field 1 - white_grape,00003D,"(51.0050973031586, 0.5450697996827041)",0.05,0.39,0.24
62,Field 1 - white_grape,00003E,"(51.004988793218224, 0.5449430347564124)",0.37,0.48,0.72
63,Field 1 - white_grape,00003F,"(51.004880283277856, 0.5448162698301208)",0.18,0.39,0.89
64,Field 1 - white_grape,000040,"(51.00477177333748, 0.5446895049038292)",0.3,0.85,0.83
65,Field 1 - white_grape,000041,"(51.00466326339711, 0.5445627399775375)",0.14,0.61,0.68
66,Field 1 - white_grape,000042,"(51.00455475345674, 0.544435975051246)",0.44,0.37,0.66
67,Field 1 - white_grape,000043,"(51.00444624351637, 0.5443092101249543)",0.79,0.66,0.65
68,Field 1 - white_grape,000044,"(51.004337733575994, 0.5441824451986627)",0.88,0.37,0.14
69,Field 1 - white_grape,000045,"(51.00422922363562, 0.5440556802723711)",0.6,0.22,0.2
70,Field 1 - white_grape,000046,"(51.00412071369525, 0.5439289153460795)",0.98,0.8,0.65
71,Field 1 - white_grape,000047,"(51.00551308793417, 0.5458121342545339)",0.28,0.71,0.86
72,Field 1 - white_grape,000048,"(51.005404577993794, 0.5456853693282423)",0.33,0.17,0.01
73,Field 1 - white_grape,000049,"(51.005296068053426, 0.5455586044019506)",0.89,0.36,0.17
74,Field 1 - white_grape,00004A,"(51.00518755811305, 0.545431839475659)",0.16,0.81,0.87
75,Field 1 - white_grape,00004B,"(51.00507904817268, 0.5453050745493674)",0.65,0.46,0.65
76,Field 1 - white_grape,00004C,"(51.00497053823231, 0.5451783096230758)",0.45,0.57,0.17
77,Field 1 - white_grape,00004D,"(51.00486202829193, 0.5450515446967841)",0.22,0.31,0.91
78,Field 1 - white_grape,00004E,"(51.00475351835156, 0.5449247797704925)",0.56,0.96,0.31
79,Field 1 - white_grape,00004F,"(51.00464500841119, 0.5447980148442009)",0.45,0.22,0.8
80,Field 1 - white_grape,000050,"(51.00453649847082, 0.5446712499179092)",0.98,0.76,0.12
81,Field 1 - white_grape,000051,"(51.004427988530445, 0.5445444849916177)",0.19,0.98,0.57
82,Field 1 - white_grape,000052,"(51.00431947859008, 0.544417720065326)",0.97,0.69,0.71
83,Field 1 - white_grape,000053,"(51.0042109686497, 0.5442909551390344)",0.79,0.1,0.0
84,Field 1 - white_grape,000054,"(51.004102458709326, 0.5441641902127428)",0.02,0.55,0.3
85,Field 1 - white_grape,000055,"(51.00399394876896, 0.5440374252864512)",0.52,0.27,0.91
86,Field 1 - white_grape,000056,"(51.00560334288863, 0.546174174047489)",0.5,0.83,0.64
87,Field 1 - white_grape,000057,"(51.00549483294825, 0.5460474091211973)",0.62,0.53,0.08
88,Field 1 - white_grape,000058,"(51.00538632300788, 0.5459206441949057)",0.11,0.27,0.41
89,Field 1 - white_grape,000059,"(51.00527781306751, 0.5457938792686141)",0.44,0.53,0.07
90,Field 1 - white_grape,00005A,"(51.00516930312714, 0.5456671143423224)",0.26,0.33,0.13
91,Field 1 - white_grape,00005B,"(51.005060793186765, 0.5455403494160308)",0.57,0.4,0.16
92,Field 1 - white_grape,00005C,"(51.004952283246396, 0.5454135844897392)",0.19,0.91,0.09
93,Field 1 - white_grape,00005D,"(51.00484377330602, 0.5452868195634476)",0.54,0.84,0.14
94,Field 1 - white_grape,00005E,"(51.004735263365646, 0.5451600546371559)",0.69,0.23,0.02
95,Field 1 - white_grape,00005F,"(51.00462675342528, 0.5450332897108643)",0.66,0.25,0.72
96,Field 1 - white_grape,000060,"(51.0045182434849, 0.5449065247845727)",0.53,0.95,0.68
97,Field 1 - white_grape,000061,"(51.004409733544534, 0.544779759858281)",0.68,0.01,0.18
98,Field 1 - white_grape,000062,"(51.00430122360416, 0.5446529949319895)",0.03,0.71,0.09
99,Field 1 - white_grape,000063,"(51.00419271366379, 0.5445262300056978)",0.39,0.25,0.63
100,Field 1 - white_grape,000064,"(51.004084203723416, 0.5443994650794062)",0.99,0.45,0.85
101,Field 1 - white_grape,000065,"(51.00397569378304, 0.5442727001531146)",0.95,0.75,0.72
102,Field 1 - white_grape,000066,"(51.00386718384267, 0.544145935226823)",0.08,0.81,0.54
103,Field 1 - white_grape,000067,"(51.00558508790271, 0.5464094489141522)",0.21,0.91,0.05
104,Field 1 - white_grape,000068,"(51.005476577962334, 0.5462826839878607)",0.94,0.62,0.33
105,Field 1 - white_grape,000069,"(51.00536806802196, 0.546155919061569)",0.14,1.0,0.94
106,Field 1 - white_grape,00006A,"(51.00525955808159, 0.5460291541352774)",0.16,0.69,0.82
107,Field 1 - white_grape,00006B,"(51.005151048141215, 0.5459023892089858)",0.42,0.42,0.74
108,Field 1 - white_grape,00006C,"(51.00504253820085, 0.5457756242826941)",0.92,0.99,0.62
109,Field 1 - white_grape,00006D,"(51.00493402826047, 0.5456488593564025)",0.29,0.96,0.79
110,Field 1 - white_grape,00006E,"(51.004825518320104, 0.5455220944301109)",0.6,0.48,0.48
111,Field 1 - white_grape,00006F,"(51.00471700837973, 0.5453953295038193)",0.83,0.69,0.61
112,Field 1 - white_grape,000070,"(51.00460849843935, 0.5452685645775276)",0.87,0.88,0.26
113,Field 1 - white_grape,000071,"(51.004499988498985, 0.545141799651236)",0.27,0.44,0.55
114,Field 1 - white_grape,000072,"(51.00439147855861, 0.5450150347249444)",0.47,0.49,0.04
115,Field 1 - white_grape,000073,"(51.00428296861824, 0.5448882697986527)",0.75,0.21,0.63
116,Field 1 - white_grape,000074,"(51.004174458677866, 0.5447615048723612)",0.52,0.28,0.74
117,Field 1 - white_grape,000075,"(51.0040659487375, 0.5446347399460695)",0.46,0.14,0.17
118,Field 1 - white_grape,000076,"(51.00395743879712, 0.5445079750197779)",0.03,0.96,0.2
119,Field 1 - white_grape,000077,"(51.00384892885675, 0.5443812100934863)",0.93,0.68,0.38
120,Field 1 - white_grape,000078,"(51.005566832916784, 0.5466447237808156)",0.58,0.43,0.65
121,Field 1 - white_grape,000079,"(51.005458322976416, 0.5465179588545239)",0.84,0.55,0.83
122,Field 1 - white_grape,00007A,"(51.00534981303604, 0.5463911939282324)",0.2,0.66,0.44
123,Field 1 - white_grape,00007B,"(51.005241303095666, 0.5462644290019407)",0.2,0.61,0.4
124,Field 1 - white_grape,00007C,"(51.0051327931553, 0.5461376640756491)",0.59,0.79,0.66
125,Field 1 - white_grape,00007D,"(51.00502428321492, 0.5460108991493575)",0.48,0.79,0.08
126,Field 1 - white_grape,00007E,"(51.004915773274554, 0.5458841342230658)",0.81,0.4,0.03
127,Field 1 - white_grape,00007F,"(51.00480726333418, 0.5457573692967742)",0.38,0.8,0.42
128,Field 1 - white_grape,000080,"(51.00469875339381, 0.5456306043704826)",0.4,0.12,1.0
129,Field 1 - white_grape,000081,"(51.004590243453436, 0.545503839444191)",0.51,0.7,0.99
130,Field 1 - white_grape,000082,"(51.00448173351306, 0.5453770745178993)",0.19,0.3,0.08
131,Field 1 - white_grape,000083,"(51.00437322357269, 0.5452503095916077)",0.21,0.09,0.35
132,Field 1 - white_grape,000084,"(51.00426471363232, 0.5451235446653161)",0.61,0.09,0.02
133,Field 1 - white_grape,000085,"(51.00415620369195, 0.5449967797390244)",0.34,0.22,0.51
134,Field 1 - white_grape,000086,"(51.00404769375157, 0.5448700148127329)",0.29,0.13,0.62
135,Field 1 - white_grape,000087,"(51.003939183811205, 0.5447432498864412)",0.78,0.04,0.43
136,Field 1 - white_grape,000088,"(51.00554857793087, 0.546879998647479)",0.4,0.62,0.31
137,Field 1 - white_grape,000089,"(51.00544006799049, 0.5467532337211874)",0.0,0.07,0.9
138,Field 1 - white_grape,00008A,"(51.00533155805012, 0.5466264687948957)",0.36,0.99,0.11
139,Field 1 - white_grape,00008B,"(51.00522304810975, 0.5464997038686042)",0.95,0.6,0.93
140,Field 1 - white_grape,00008C,"(51.00511453816937, 0.5463729389423125)",0.3,0.93,0.55
141,Field 1 - white_grape,00008D,"(51.005006028229005, 0.5462461740160209)",0.95,0.46,1.0
142,Field 1 - white_grape,00008E,"(51.00489751828863, 0.5461194090897293)",0.88,0.79,0.3
