,fieldID,ID,Coord,ESCA,BlackLeaf,Humidity
0,Field 1 - white_grape,000000,"(51.005460362926705, 0.5434411306019757)",0.9,0.68,0.97
1,Field 1 - white_grape,000001,"(51.00535185298633, 0.5433143656756841)",0.66,0.24,0.14
2,Field 1 - white_grape,000002,"(51.00544210794078, 0.5436764054686392)",0.71,0.56,0.39
3,Field 1 - white_grape,000003,"(51.00533359800041, 0.5435496405423474)",0.45,0.38,0.99
4,Field 1 - white_grape,000004,"(51.00522508806004, 0.5434228756160558)",0.73,0.19,0.0
5,Field 1 - white_grape,000005,"(51.00553236289523, 0.5440384452615941)",0.56,0.99,0.29
6,Field 1 - white_grape,000006,"(51.00542385295486, 0.5439116803353023)",0.67,0.47,0.72
7,Field 1 - white_grape,000007,"(51.00531534301449, 0.5437849154090109)",0.41,0.28,0.0
8,Field 1 - white_grape,000008,"(51.00520683307412, 0.5436581504827191)",0.96,0.27,0.35
9,Field 1 - white_grape,000009,"(51.005098323133744, 0.5435313855564275)",0.48,0.07,0.74
10,Field 1 - white_grape,00000A,"(51.00551410790931, 0.5442737201282575)",0.64,0.43,0.86
11,Field 1 - white_grape,00000B,"(51.00540559796894, 0.5441469552019659)",0.38,0.65,0.46
12,Field 1 - white_grape,00000C,"(51.00529708802857, 0.5440201902756742)",0.55,0.43,0.71
13,Field 1 - white_grape,00000D,"(51.005188578088195, 0.5438934253493827)",0.37,0.12,0.13
14,Field 1 - white_grape,00000E,"(51.00508006814783, 0.543766660423091)",0.87,0.69,0.41
15,Field 1 - white_grape,00000F,"(51.00497155820745, 0.5436398954967994)",0.9,1.0,0.23
16,Field 1 - white_grape,000010,"(51.004863048267076, 0.5435131305705078)",0.73,0.79,0.94
17,Field 1 - white_grape,000011,"(51.005495852923396, 0.5445089949949208)",0.52,0.61,0.94
18,Field 1 - white_grape,000012,"(51.00538734298303, 0.5443822300686292)",0.35,0.03,0.71
19,Field 1 - white_grape,000013,"(51.00527883304265, 0.5442554651423376)",0.06,0.71,0.34
20,Field 1 - white_grape,000014,"(51.005170323102284, 0.5441287002160459)",0.68,0.15,0.81
21,Field 1 - white_grape,000015,"(51.00506181316191, 0.5440019352897544)",0.19,0.36,0.46
22,Field 1 - white_grape,000016,"(51.00495330322154, 0.5438751703634627)",0.38,0.81,0.43
23,Field 1 - white_grape,000017,"(51.004844793281165, 0.5437484054371711)",0.11,0.92,0.61
24,Field 1 - white_grape,000018,"(51.00473628334079, 0.5436216405108795)",0.25,0.94,0.81
25,Field 1 - white_grape,000019,"(51.00547759793748, 0.5447442698615842)",0.76,0.63,0.21
26,Field 1 - white_grape,00001A,"(51.0053690879971, 0.5446175049352925)",0.2,0.7,0.03
27,Field 1 - white_grape,00001B,"(51.005260578056735, 0.5444907400090009)",0.01,0.0,0.38
28,Field 1 - white_grape,00001C,"(51.00515206811636, 0.5443639750827093)",0.71,0.32,0.57
29,Field 1 - white_grape,00001D,"(51.00504355817599, 0.5442372101564176)",0.09,0.21,0.82
30,Field 1 - white_grape,00001E,"(51.004935048235616, 0.5441104452301261)",0.5,0.37,0.84
31,Field 1 - white_grape,00001F,"(51.00482653829525, 0.5439836803038344)",0.72,0.31,0.85
32,Field 1 - white_grape,000020,"(51.00471802835487, 0.5438569153775428)",0.35,0.47,0.28
33,Field 1 - white_grape,000021,"(51.0046095184145, 0.5437301504512512)",0.92,0.84,0.6
34,Field 1 - white_grape,000022,"(51.00556785289192, 0.5451063096545438)",0.91,0.54,0.62
35,Field 1 - white_grape,000023,"(51.00545934295155, 0.5449795447282522)",0.74,0.89,0.72
36,Field 1 - white_grape,000024,"(51.00535083301118, 0.5448527798019606)",0.73,0.59,0.4
37,Field 1 - white_grape,000025,"(51.0052423230708, 0.5447260148756689)",0.19,0.19,0.46
38,Field 1 - white_grape,000026,"(51.005133813130435, 0.5445992499493773)",0.43,0.64,0.77
39,Field 1 - white_grape,000027,"(51.00502530319006, 0.5444724850230857)",0.42,0.53,0.92
40,Field 1 - white_grape,000028,"(51.00491679324969, 0.5443457200967939)",0.06,0.18,0.65
41,Field 1 - white_grape,000029,"(51.004808283309316, 0.5442189551705024)",0.17,0.26,0.84
42,Field 1 - white_grape,00002A,"(51.00469977336895, 0.5440921902442107)",0.38,0.36,0.51
43,Field 1 - white_grape,00002B,"(51.00459126342857, 0.5439654253179191)",0.17,0.14,0.72
44,Field 1 - white_grape,00002C,"(51.0044827534882, 0.5438386603916275)",0.76,0.95,0.68
